iteration,input_fuse_test,output_fuse_result
168,1,0.000789873
169,0,0.951987
169,1,0.00203187
170,0,0.942162
170,1,0.00427689
171,0,0.939409
171,1,0.00184524
172,0,0.950709
172,1,0.00359684
173,0,0.951858
173,1,0.000626013
174,0,0.983109
174,1,0.00129693
175,0,0.920645
175,1,0.000338692
176,0,0.955428
176,1,0.000153484
177,0,0.968906
177,1,0.00336499
178,0,0.938484
178,1,0.00142205
179,0,0.952976
179,1,6.27591e-05
180,0,0.99812
180,1,0.00157063
181,0,0.976776
181,1,0.000256235
182,0,0.965487
182,1,0.0040075
183,0,0.931415
183,1,0.00194658
184,0,0.925912
184,1,0.00174519
185,0,0.975937
185,1,1.06339e-05
186,0,0.927866
186,1,0.00309338
187,0,0.950247
187,1,0.00303328
188,0,0.996358
188,1,0.00287095
189,0,0.979671
189,1,0.00206088
190,0,0.926207
190,1,0.00402594
191,0,0.926389
191,1,0.00143852
192,0,0.96572
192,1,0.00293079
193,0,0.932298
193,1,0.000634128
194,0,0.986677
194,1,0.00476558
195,0,0.925094
195,1,0.000839454
196,0,0.946784
196,1,0.00429127
197,0,0.977529
197,1,0.00335222
198,0,0.955342
198,1,0.000560324
199,0,0.960543
199,1,0.00258873
200,0,0.953431
200,1,0.00416027
201,0,0.936994
201,1,0.00441343
202,0,0.944352
202,1,0.000911536
203,0,0.954548
203,1,0.000912401
204,0,0.987999
204,1,0.00238131
205,0,0.951373
205,1,0.00109477
206,0,0.965774
206,1,0.000139741
207,0,0.94971
207,1,0.00127261
208,0,0.992272
208,1,0.00435924
209,0,0.94187
209,1,0.00375156
210,0,0.927392
210,1,0.00164427
211,0,0.989016
211,1,0.00447179
212,0,0.935351
212,1,0.0024872
213,0,0.989863
213,1,0.00283043
214,0,0.942706
214,1,0.00246438
215,0,0.987964
215,1,0.000437046
216,0,0.944018
216,1,0.00134532
217,0,0.972204
217,1,0.000942953
218,0,0.943319
218,1,0.00493237
219,0,0.948039
219,1,0.00443832
220,0,0.925906
220,1,0.00489503
221,0,0.968708
221,1,0.00163238
222,0,0.952594
222,1,0.0021258
223,0,0.972694
223,1,0.0012731
224,0,0.963453
224,1,0.00381512
225,0,0.928527
225,1,0.00255812
226,0,0.951059
226,1,0.000446888
227,0,0.935266
227,1,0.00472202
228,0,0.927594
228,1,0.0041732
229,0,0.953349
229,1,0.00464002
230,0,0.963301
230,1,0.000533066
231,0,0.945216
231,1,0.00117403
232,0,0.948415
232,1,0.00216903
233,0,0.942405
233,1,0.000661125
234,0,0.948811
234,1,0.00130556
235,0,0.967849
235,1,0.000740577
236,0,0.949068
236,1,0.00132592
237,0,0.945959
237,1,0.0031905
238,0,0.98339
238,1,0.00247404
239,0,0.986259
239,1,0.00402383
240,0,0.935617
240,1,0.00213591
241,0,0.933014
241,1,0.00399855
242,0,0.994233
242,1,0.000180697
243,0,0.955064
243,1,0.00259505
244,0,0.988586
244,1,0.000406578
245,0,0.9499
245,1,0.00373097
246,0,0.953061
246,1,0.00366521
247,0,0.972764
247,1,0.00275017
248,0,0.947445
248,1,0.000494605
249,0,0.924575
249,1,0.00239018
250,0,0.967018
250,1,0.00269306
251,0,0.956601
251,1,0.00333467
252,0,0.935709
252,1,0.00294164
253,0,0.947532
253,1,0.00295223
254,0,0.931709
254,1,0.000818288
255,0,0.941397
255,1,0.00413168
256,0,0.934967
256,1,0.00173228
257,0,0.95141
257,1,0.00359241
258,0,0.966273
258,1,0.00334783
259,0,0.95976
259,1,0.00231962
260,0,0.97303
260,1,0.00213884
261,0,0.989612
261,1,0.00109249
262,0,0.957362
262,1,1.35877e-05
263,0,0.951649
263,1,0.0039449
264,0,0.938777
264,1,0.00126359
265,0,0.939305
265,1,0.0039721
266,0,0.950748
266,1,0.0031306
267,0,0.946613
267,1,0.0045129
268,0,0.961149
268,1,0.000579772
269,0,0.936346
269,1,0.00233237
270,0,0.956215
270,1,0.00170417
271,0,0.932893
271,1,0.00352122
272,0,0.985365
272,1,0.000403579
273,0,0.941995
273,1,0.00208019
274,0,0.978954
274,1,0.00403656
275,0,0.927774
275,1,0.00225497
276,0,0.941949
276,1,0.00120295
277,0,0.927764
277,1,0.00284555
278,0,0.923623
278,1,0.00333736
279,0,0.925617
279,1,0.00111586
280,0,0.934353
280,1,0.0010745
281,0,0.983042
281,1,0.000495839
282,0,0.992125
282,1,0.000131353
283,0,0.937091
283,1,0.00497054
284,0,0.934736
284,1,0.00174255
285,0,0.952642
285,1,0.000142955
286,0,0.988901
286,1,0.00273017
287,0,0.946932
287,1,0.00112624
288,0,0.991459
288,1,0.00446687
289,0,0.964305
289,1,0.000790293
290,0,0.972926
290,1,0.00069629
291,0,0.979025
291,1,0.00114427
292,0,0.936183
292,1,0.00280826
293,0,0.948521
293,1,0.00381985
294,0,0.957793
294,1,0.00287716
295,0,0.944219
295,1,0.00221858
296,0,0.942403
296,1,0.000493931
297,0,0.921457
297,1,0.00218879
298,0,0.947709
298,1,0.00372062
299,0,0.967964
299,1,0.000331104
300,0,0.922606
300,1,0.00457317
301,0,0.98319
301,1,0.00226791
302,0,0.951179
302,1,0.00355442
303,0,0.990956
303,1,0.00227613
304,0,0.97808
304,1,0.000941226
305,0,0.942444
305,1,0.00113054
306,0,0.952132
306,1,0.00231211
307,0,0.942804
307,1,0.00196225
308,0,0.920589
308,1,0.00409217
309,0,0.985349
309,1,0.000552607
310,0,0.949432
310,1,1.99777e-05
311,0,0.929989
311,1,0.00115809
312,0,0.926587
312,1,0.00140998
313,0,0.958498
313,1,0.00275573
314,0,0.941484
314,1,0.000497036
315,0,0.95656
315,1,0.00345444
316,0,0.933428
316,1,0.00404621
317,0,1.95879
317,1,2.98221
318,0,2.01343
318,1,2.99708
319,0,1.94269
319,1,3.04696
320,0,1.90809
320,1,3.0389
321,0,2.02269
321,1,2.96423
322,0,2.0091
322,1,2.96793
323,0,2.03711
323,1,3.00173
324,0,2.09042
324,1,3.0403
325,0,2.02645
325,1,3.0209
326,0,1.96471
326,1,3.0018
327,0,2.04364
327,1,2.96911
328,0,1.99247
328,1,3.0005
329,0,2.04156
329,1,2.9999
330,0,2.0215
330,1,3.05299
331,0,1.98273
331,1,2.98605
332,0,2.00926
332,1,2.92789
333,0,1.99335
333,1,3.01159
334,0,1.97931
334,1,3.02687
335,0,2.04282
335,1,3.00369
336,0,1.9895
336,1,3.0005
337,0,2.0018
337,1,3.00181
338,0,2.05256
338,1,2.97374
339,0,2.07892
339,1,2.95146
340,0,2.00392
340,1,2.95734
341,0,1.95454
341,1,3.03831
342,0,1.91911
342,1,2.98386
343,0,2.00738
343,1,3.05956
344,0,2.009
344,1,3.02424
345,0,1.9905
345,1,3.01153
346,0,2.0013
346,1,2.9408
347,0,1.99949
347,1,3.02345
348,0,1.98602
348,1,2.99914
349,0,2.00546
349,1,3.01502
350,0,1.9962
350,1,3.00042
351,0,1.96807
351,1,2.9529
352,0,1.91872
352,1,3.00233
353,0,2.09606
353,1,2.95892
354,0,2.02088
354,1,2.93922
355,0,1.95482
355,1,3
356,0,1.98832
356,1,3.04871
357,0,2.03229
357,1,2.96557
358,0,1.98942
358,1,3.00129
359,0,1.99908
359,1,3.00827
360,0,2.07636
360,1,2.97032
361,0,2.00201
361,1,2.94503
362,0,2.03876
362,1,3.0144
363,0,1.94856
363,1,3.05637
364,0,2.00443
364,1,3.0878
365,0,2.0196
365,1,3.00227
366,0,2.00318
366,1,3.04848
367,0,2.01829
367,1,2.99927
368,0,2.04089
368,1,3.05285
369,0,2.03254
369,1,3.00664
370,0,1.99455
370,1,2.92787
371,0,2.02539
371,1,2.95635
372,0,1.98946
372,1,3.00076
373,0,2.00379
373,1,3.00579
374,0,1.99688
374,1,2.9785
375,0,1.98381
375,1,3.05572
376,0,1.99713
376,1,3.00177
377,0,2.03439
377,1,2.9766
378,0,1.98111
378,1,2.97214
379,0,1.98535
379,1,2.96241
380,0,1.94532
380,1,2.98513
381,0,2.06355
381,1,2.96429
382,0,1.99481
382,1,3.06351
383,0,2.01819
383,1,2.99736
384,0,2.0094
384,1,3.00949
385,0,2.00752
385,1,3.04436
386,0,1.93932
386,1,3.03837
387,0,2.0299
387,1,2.9821
388,0,2.09721
388,1,2.99613
389,0,1.98417
389,1,2.95567
390,0,1.99595
390,1,3.02512
391,0,2.00003
391,1,3.03671
392,0,1.97769
392,1,3.0083
393,0,2.01668
393,1,2.90159
394,0,2.00266
394,1,3.02707
395,0,1.90493
395,1,2.9956
396,0,2.00143
396,1,2.97735
397,0,1.99652
397,1,3.05133
398,0,1.97258
398,1,2.96806
399,0,1.98336
399,1,2.99066
400,0,1.97596
400,1,3.03996
401,0,2.04406
401,1,2.99811
402,0,2.02827
402,1,2.91181
403,0,2.02358
403,1,3.01877
404,0,1.92567
404,1,3.02228
405,0,1.9558
405,1,2.97273
406,0,2.0075
406,1,2.99591
407,0,2.03504
407,1,2.95014
408,0,1.98013
408,1,2.99682
409,0,1.9959
409,1,3.003
410,0,1.95997
410,1,3.03493
411,0,2.06274
411,1,3.0239
412,0,1.98531
412,1,3.0087
413,0,2.05447
413,1,3.02494
414,0,2.00703
414,1,2.95196
415,0,1.91875
415,1,2.9983
416,0,2.00468
416,1,2.9962
417,0,2.00748
417,1,2.97772
418,0,1.99961
418,1,2.9489
419,0,1.99783
419,1,2.9838
420,0,2.00165
420,1,2.97943
421,0,2.0077
421,1,3.01462
422,0,1.93557
422,1,3.02104
423,0,2.02991
423,1,3.02961
424,0,2.08659
424,1,2.97722
425,0,2.05068
425,1,2.92447
