iteration,metric,tolerance,variation
455,imbalanceNumPoints,0.000000,2.000000
456,imbalanceNumPoints,0.000000,2.000000
457,imbalanceNumPoints,0.000000,2.000000
458,imbalanceNumPoints,0.000000,2.000000
459,imbalanceNumPoints,0.000000,2.000000
460,imbalanceNumPoints,0.000000,2.000000
461,imbalanceNumPoints,0.000000,2.000000
462,imbalanceNumPoints,0.000000,2.000000
463,imbalanceNumPoints,0.000000,2.000000
464,imbalanceNumPoints,0.000000,2.000000
465,imbalanceNumPoints,0.000000,2.000000
466,imbalanceNumPoints,0.000000,2.000000
467,imbalanceNumPoints,0.000000,2.000000
468,imbalanceNumPoints,0.000000,2.000000
469,imbalanceNumPoints,0.000000,2.000000
470,imbalanceNumPoints,0.000000,2.000000
471,imbalanceNumPoints,0.000000,2.000000
472,imbalanceNumPoints,0.000000,2.000000
473,imbalanceNumPoints,0.000000,2.000000
474,imbalanceNumPoints,0.000000,2.000000
475,imbalanceNumPoints,0.000000,2.000000
476,imbalanceNumPoints,0.000000,2.000000
477,imbalanceNumPoints,0.000000,2.000000
478,imbalanceNumPoints,0.000000,2.000000
479,imbalanceNumPoints,0.000000,2.000000
480,imbalanceNumPoints,0.000000,2.000000
481,imbalanceNumPoints,0.000000,2.000000
482,imbalanceNumPoints,0.000000,2.000000
484,imbalanceNumPoints,0.000000,2.000000
486,imbalanceNumPoints,0.000000,2.000000
487,silhouetteCluster1,0.080000,-0.223954
