iteration,fuseTest,fuseResult
311,1,4091.67
313,0,53.2591
313,1,4093.92
315,0,53.5611
315,1,4092.21
317,0,53.207
317,1,4091.43
319,0,53.9547
319,1,4091.09
321,0,54.4054
321,1,4093.23
323,0,53.9271
323,1,4092.99
325,0,54.4459
325,1,4092.01
327,0,53.6395
327,1,4092.01
329,0,54.7995
329,1,4091.76
331,0,53.7267
331,1,4092.02
333,0,52.6719
333,1,4092.62
335,0,52.8016
335,1,4091.52
337,0,52.5445
337,1,4093.05
339,0,53.3363
339,1,4093.7
341,0,53.5728
341,1,4091.93
343,0,54.4137
343,1,4091.48
345,0,54.0283
345,1,4092.74
347,0,53.8822
347,1,4092.48
349,0,55.111
349,1,4093.76
351,0,53.2129
351,1,4091.81
353,0,54.0778
353,1,4092.46
355,0,52.5059
355,1,4094.39
357,0,54.3708
357,1,4092.63
359,0,54.898
359,1,4093.22
361,0,56.2705
361,1,4093.24
363,0,53.6419
363,1,4091.31
365,0,52.8986
365,1,4092.86
367,0,53.7827
367,1,4093.04
369,0,54.5486
369,1,4092.44
371,0,53.2215
371,1,4091.3
373,0,53.6363
373,1,4091.12
375,0,56.516
375,1,4093.75
377,0,53.8217
377,1,4091.05
379,0,51.3484
379,1,4093.19
381,0,55.5979
381,1,4092.8
383,0,53.703
383,1,4093.15
385,0,53.9504
385,1,4094.8
387,0,53.9573
387,1,4093.77
389,0,55.9522
389,1,4091.06
391,0,53.8755
391,1,4092.11
393,0,54.0097
393,1,4093.11
395,0,55.601
395,1,4091.64
397,0,55.2814
397,1,4091.88
399,0,54.177
399,1,4092.02
401,0,54.6196
401,1,4091.54
403,0,53.54
403,1,4091.87
405,0,55.2173
405,1,4093.6
407,0,53.985
407,1,4092.11
409,0,54.172
409,1,4092.31
411,0,53.6847
411,1,4091.4
413,0,55.1519
413,1,4092.06
415,0,54.1695
415,1,4091.39
417,0,53.4466
417,1,4091.75
419,0,53.7687
419,1,4092.35
421,0,51.1655
421,1,4091.11
423,0,55.0795
423,1,4093.47
425,0,55.3632
425,1,4091.01
427,0,53.9626
427,1,4092.1
429,0,55.4819
429,1,4093.89
431,0,55.5868
431,1,4091.64
433,0,56.8665
433,1,4092.28
435,0,53.9762
435,1,4091.2
437,0,52.4805
437,1,4092.66
439,0,54.4001
439,1,4094.08
441,0,54.9032
441,1,4091.55
443,0,54.134
443,1,4091.83
445,0,55.4636
445,1,4092.11
447,0,52.3959
447,1,4091.67
449,0,54.0723
449,1,4091.97
451,0,54.1178
451,1,4092
453,0,51.6264
453,1,4092.03
455,0,51.9215
455,1,4093.2
457,0,52.2761
457,1,4093.76
459,0,55.2567
459,1,4092.02
461,0,54.2896
461,1,4092.12
463,0,53.8119
463,1,4092.85
465,0,53.0435
465,1,4091.07
467,0,52.3293
467,1,4091.81
469,0,52.0461
469,1,4093.8
471,0,52.404
471,1,4092.92
473,0,51.7974
473,1,4093.06
475,0,52.6488
475,1,4092.47
477,0,54.115
477,1,4093.47
479,0,54.5836
479,1,4093.47
481,0,55.7837
481,1,4093.48
483,0,56.0188
483,1,4091.06
485,0,55.9963
485,1,4093.97
487,0,54.7146
487,1,4092.01
489,0,54.5587
489,1,4091.41
491,0,56.945
491,1,4094.2
493,0,55.4944
493,1,4093.08
495,0,53.9006
495,1,4093.41
497,0,54.4133
497,1,4093.38
499,0,53.9699
499,1,4093.19
501,0,53.1555
501,1,4091.99
503,0,53.6323
503,1,4092
505,0,54.6949
505,1,4092.58
507,0,51.5327
507,1,4092.03
509,0,54.0497
509,1,4091.32
511,0,53.8759
511,1,4091.56
513,0,54.2292
513,1,4091.6
515,0,54.4672
515,1,4091.19
517,0,53.7299
517,1,4091.84
519,0,56.0282
519,1,4091.64
521,0,53.9239
521,1,4092.04
523,0,54.6648
523,1,4092.24
525,0,51.7552
525,1,4092.29
527,0,53.6576
527,1,4093.11
529,0,54.4918
529,1,4091.91
531,0,56.5407
531,1,4094.17
533,0,55.253
533,1,4094.04
535,0,53.3239
535,1,4092.76
537,0,56.6231
537,1,4093.93
539,0,53.7246
539,1,4091.82
541,0,53.5218
541,1,4092.56
543,0,52.6523
543,1,4091.29
545,0,54.349
545,1,4092.82
547,0,54.1609
547,1,4094.08
549,0,54.4703
549,1,4093.35
551,0,54.0622
551,1,4091.56
553,0,52.4155
553,1,4091.71
555,0,52.5402
555,1,4092.43
557,0,52.0948
557,1,4091.07
559,0,53.8967
559,1,4091.95
561,0,56.373
561,1,4092.6
563,0,52.6346
563,1,4092.8
565,0,54.1455
565,1,4091.53
567,0,53.9695
567,1,4092.55
569,0,53.4949
569,1,4092
571,0,54.6169
571,1,4093.68
573,0,53.9405
573,1,4094.51
575,0,53.1637
575,1,4093.05
577,0,54.0609
577,1,4094.61
579,0,52.7261
579,1,4093.54
581,0,53.3633
581,1,4093.38
583,0,53.7512
583,1,4091.21
585,0,54.3089
585,1,4091.24
587,0,53.0932
587,1,4093.18
589,0,53.7612
589,1,4092.05
591,0,53.9811
591,1,4092.86
593,0,55.1937
593,1,4093.35
595,0,54.2007
595,1,4091.55
597,0,53.4514
597,1,4092.09
599,0,53.9475
599,1,4091.88
601,0,56.681
601,1,4094.63
603,0,54.711
603,1,4091.62
605,0,54.7624
605,1,4091.83
607,0,53.8582
607,1,4091.97
609,0,53.7538
609,1,4091.04
611,0,53.3762
611,1,4091.7
613,0,52.723
613,1,4091.95
615,0,56.8819
615,1,4092.45
617,0,53.946
617,1,4091.43
619,0,52.5349
619,1,4094.64
621,0,55.1035
621,1,4091.38
623,0,51.1645
623,1,4092.92
625,0,54.0129
625,1,4092.46
627,0,53.8859
627,1,4093.19
629,0,52.1853
629,1,4091.41
631,0,53.1341
631,1,4092.16
633,0,53.9009
633,1,4094.73
635,0,54.1403
635,1,4092.53
637,0,55.0155
637,1,4091.63
639,0,54.1072
