iteration,fuseTest,fuseResult
1,0,53.5941
1,1,4093.18
3,0,54.1288
3,1,4093.35
5,0,52.2733
5,1,4092.14
7,0,53.0933
7,1,4091.28
9,0,54.0222
9,1,4091.94
11,0,55.936
11,1,4091.6
13,0,53.9061
13,1,4092.46
15,0,53.8579
15,1,4091.06
17,0,53.357
17,1,4091.66
19,0,53.3703
19,1,4091.73
21,0,53.9733
21,1,4091.98
23,0,54.0197
23,1,4094.18
25,0,55.08
25,1,4093.09
27,0,54.2149
27,1,4091.54
29,0,55.1889
29,1,4091.49
31,0,54.543
31,1,4092.87
33,0,55.6136
33,1,4092.17
35,0,54.2217
35,1,4091.19
37,0,54.0439
37,1,4093.19
39,0,52.5682
39,1,4092.08
41,0,52.214
41,1,4091.99
43,0,54.7864
43,1,4092.99
45,0,52.4335
45,1,4092.69
47,0,51.6498
47,1,4091.35
49,0,54.4255
49,1,4093.67
51,0,55.9497
51,1,4092.32
53,0,51.73
53,1,4093.02
55,0,54.7007
55,1,4092.34
57,0,54.4008
57,1,4092.39
59,0,54.5747
59,1,4092.48
61,0,54.9461
61,1,4092.12
63,0,52.0574
63,1,4091.18
65,0,52.7282
65,1,4092.7
67,0,54.0293
67,1,4092.34
69,0,54.0366
69,1,4092.99
71,0,54.185
71,1,4091.15
73,0,54.4853
73,1,4092.41
75,0,55.2653
75,1,4094.19
77,0,54.2859
77,1,4092.35
79,0,55.1521
79,1,4091.48
81,0,53.6403
81,1,4091.93
83,0,53.3334
83,1,4091.4
85,0,55.6814
85,1,4091.99
87,0,53.6979
87,1,4094.89
89,0,53.2567
89,1,4093.32
91,0,53.9189
91,1,4092.42
93,0,53.8667
93,1,4091.4
95,0,53.9422
95,1,4092.66
97,0,53.7774
97,1,4093.41
99,0,55.5864
99,1,4092.26
101,0,54.451
101,1,4094.4
103,0,53.9968
103,1,4093.28
105,0,0
105,1,0
