id,name,probability,meanValueFuseResultBurn,meanValueFuseResultNotBurn,minFuseResultBurn,maxFuseResultBurn,minFuseResultNotBurn,maxFuseResultNotBurn
0,Open,0.29000,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
1,Short-Circuit,0.51000,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
2,Increase of Reverse Current,0.03333,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
3,Decrease of Reverse Breakdown Voltage,0.03333,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
4,Increase of Conducting-State Voltage,0.03333,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
5,Decrease of Conducting-State Voltage,0.03333,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
6,Increase of Threshold Voltage,0.03333,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
7,Decrease of Threshold Voltage,0.03333,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
