iteration,silhouetteCluster1,silhouetteCluster2,numPointsCluster1,numPointsCluster2,overallSilhouette
301,0.99963,0.999712,50,50,0.999671
303,0.99963,0.999709,50,50,0.99967
305,0.999631,0.999705,50,50,0.999668
307,0.999632,0.999708,50,50,0.99967
309,0.999626,0.999704,50,50,0.999665
311,0.999626,0.999708,50,50,0.999667
313,0.999635,0.99971,50,50,0.999673
315,0.999637,0.999709,50,50,0.999673
317,0.99963,0.999711,50,50,0.999671
319,0.999632,0.999714,50,50,0.999673
321,0.999628,0.999707,50,50,0.999667
323,0.999633,0.999706,50,50,0.999669
325,0.999643,0.999701,50,50,0.999672
327,0.999644,0.999697,50,50,0.99967
329,0.999642,0.999698,50,50,0.99967
331,0.999632,0.9997,50,50,0.999666
333,0.999627,0.999712,50,50,0.99967
335,0.99963,0.999706,50,50,0.999668
337,0.999642,0.99971,50,50,0.999676
339,0.999645,0.99971,50,50,0.999678
341,0.999646,0.99971,50,50,0.999678
343,0.999645,0.999715,50,50,0.99968
345,0.999649,0.999727,50,50,0.999688
347,0.99965,0.999729,50,50,0.99969
349,0.99965,0.999725,50,50,0.999687
351,0.99965,0.99973,50,50,0.99969
353,0.999658,0.99973,50,50,0.999694
355,0.999657,0.999743,50,50,0.9997
357,0.999657,0.999743,50,50,0.9997
359,0.999653,0.999735,50,50,0.999694
361,0.999647,0.999738,50,50,0.999692
363,0.999647,0.999745,50,50,0.999696
365,0.999643,0.999742,50,50,0.999692
367,0.999644,0.999754,50,50,0.999699
369,0.999657,0.999755,50,50,0.999706
371,0.999649,0.999745,50,50,0.999697
373,0.999648,0.999741,50,50,0.999694
375,0.999646,0.999742,50,50,0.999694
377,0.999646,0.999742,50,50,0.999694
379,0.999645,0.999742,50,50,0.999694
381,0.999651,0.999745,50,50,0.999698
383,0.99965,0.999737,50,50,0.999694
385,0.999652,0.999738,50,50,0.999695
387,0.999658,0.999734,50,50,0.999696
389,0.999656,0.999734,50,50,0.999695
391,0.999664,0.999729,50,50,0.999697
393,0.99967,0.999729,50,50,0.999699
395,0.999675,0.999729,50,50,0.999702
397,0.999692,0.999728,50,50,0.99971
399,0.999695,0.999718,50,50,0.999707
401,0.999684,0.999725,50,50,0.999705
403,0.99969,0.999724,50,50,0.999707
405,0.9997,0.999729,50,50,0.999715
407,0.99969,0.999737,50,50,0.999713
409,0.999695,0.999734,50,50,0.999715
411,0.999695,0.999734,50,50,0.999714
413,0.999684,0.999734,50,50,0.999709
415,0.999685,0.999737,50,50,0.999711
417,0.999679,0.999732,50,50,0.999706
419,0.99968,0.999732,50,50,0.999706
421,0.999685,0.999741,50,50,0.999713
423,0.999684,0.999747,50,50,0.999716
425,0.999686,0.999745,50,50,0.999716
427,0.999687,0.999746,50,50,0.999717
429,0.999691,0.99974,50,50,0.999716
431,0.999703,0.999738,50,50,0.99972
433,0.99971,0.999736,50,50,0.999723
435,0.999705,0.99974,50,50,0.999722
437,0.9997,0.99974,50,50,0.99972
439,0.999709,0.99974,50,50,0.999724
441,0.999718,0.999741,50,50,0.999729
443,0.999714,0.999744,50,50,0.999729
445,0.999708,0.999742,50,50,0.999725
447,0.999707,0.99974,50,50,0.999724
449,0.999705,0.999744,50,50,0.999725
451,0.999703,0.999742,50,50,0.999722
453,0.999697,0.999737,50,50,0.999717
455,0.999696,0.999736,50,50,0.999716
457,0.999704,0.999735,50,50,0.99972
459,0.999724,0.999737,50,50,0.999731
461,0.999721,0.999734,50,50,0.999728
463,0.999706,0.999736,50,50,0.999721
465,0.999696,0.999734,50,50,0.999715
467,0.999697,0.999733,50,50,0.999715
469,0.999697,0.999733,50,50,0.999715
471,0.999703,0.999742,50,50,0.999723
473,0.999702,0.999745,50,50,0.999723
475,0.999705,0.999734,50,50,0.99972
477,0.999705,0.999732,50,50,0.999719
479,0.999707,0.999732,50,50,0.999719
481,0.999707,0.999732,50,50,0.999719
483,0.999711,0.999737,50,50,0.999724
485,0.99971,0.999734,50,50,0.999722
487,0.99971,0.999726,50,50,0.999718
489,0.999715,0.999727,50,50,0.999721
491,0.999714,0.999728,50,50,0.999721
493,0.999716,0.999728,50,50,0.999722
495,0.999719,0.999722,50,50,0.99972
497,0.999697,0.999722,50,50,0.99971
