iteration,silhouetteCluster1,silhouetteCluster2,numPointsCluster1,numPointsCluster2,overallSilhouette
1,0,0,1,1,0
3,0.999962,0.999468,2,2,0.999715
5,0.999761,0.999486,3,3,0.999624
7,0.999663,0.999614,4,4,0.999639
9,0.999646,0.999691,5,5,0.999668
11,0.999587,0.999736,6,6,0.999662
13,0.999623,0.999755,7,7,0.999689
15,0.999654,0.999769,8,8,0.999711
17,0.999675,0.999767,9,9,0.999721
19,0.999697,0.999784,10,10,0.99974
21,0.999676,0.999791,11,11,0.999733
23,0.999654,0.999801,12,12,0.999728
25,0.99967,0.999801,13,13,0.999736
27,0.999652,0.999807,14,14,0.999729
29,0.999665,0.99977,15,15,0.999718
31,0.999672,0.999779,16,16,0.999726
33,0.999636,0.999789,17,17,0.999713
35,0.999645,0.999795,18,18,0.99972
37,0.999621,0.999797,19,19,0.999709
39,0.999632,0.999787,20,20,0.99971
41,0.999631,0.999776,21,21,0.999703
43,0.999641,0.99978,22,22,0.999711
45,0.999651,0.999779,23,23,0.999715
47,0.99966,0.999785,24,24,0.999723
49,0.999637,0.999782,25,25,0.99971
51,0.999619,0.999787,26,26,0.999703
53,0.999628,0.999791,27,27,0.99971
55,0.999629,0.999796,28,28,0.999713
57,0.999624,0.9998,29,29,0.999712
59,0.999632,0.999798,30,30,0.999715
61,0.999639,0.999802,31,31,0.99972
63,0.999646,0.999802,32,32,0.999724
65,0.99965,0.999803,33,33,0.999727
67,0.999652,0.999806,34,34,0.999729
69,0.999645,0.999805,35,35,0.999725
71,0.999651,0.9998,36,36,0.999726
73,0.999651,0.999803,37,37,0.999727
75,0.999655,0.999806,38,38,0.99973
77,0.999658,0.999802,39,39,0.99973
79,0.999659,0.999803,40,40,0.999731
81,0.999664,0.999806,41,41,0.999735
