iteration,fuseTest,fuseResult
1,0,52.7346
1,1,4092.37
3,0,52.8896
3,1,4094.52
5,0,54.1834
5,1,4091.41
7,0,55.0217
7,1,4092.38
9,0,52.168
9,1,4092.36
11,0,55.5364
11,1,4092.5
13,0,53.8819
13,1,4092.84
15,0,53.6083
15,1,4092.04
17,0,53.1533
17,1,4091.64
19,0,53.7704
19,1,4092.53
21,0,55.3478
21,1,4091.89
23,0,55.6696
23,1,4092.02
25,0,54.1447
25,1,4091.61
27,0,55.8521
27,1,4092.64
29,0,53.7284
29,1,4094.2
31,0,54.7882
31,1,4092.12
33,0,51.6
33,1,4092.39
35,0,54.6259
35,1,4092.66
37,0,51.6761
37,1,4091.77
39,0,53.736
39,1,4091.2
41,0,52.5982
41,1,4093.52
43,0,54.1345
43,1,4091.86
45,0,53.6542
45,1,4093.05
47,0,53.7034
47,1,4092.33
49,0,56.3862
49,1,4093.22
51,0,56.3531
51,1,4092
53,0,53.7419
53,1,4092.58
55,0,52.8495
55,1,4092.52
57,0,55.6924
57,1,4092.05
59,0,53.9839
59,1,4093.14
61,0,53.5769
61,1,4092.35
63,0,53.9023
63,1,4091.68
65,0,53.3134
65,1,4091.81
67,0,54.8654
67,1,4091.89
69,0,55.8655
69,1,4091.59
71,0,54.0843
71,1,4093.37
73,0,55.2876
73,1,4092.62
75,0,54.4013
75,1,4092.04
77,0,53.3026
77,1,4091.33
79,0,53.0119
79,1,4092.82
81,0,53.9123
81,1,4092.35
