iteration,silhouette_cluster1,silhouette_cluster2,n_points_cluster1,n_points_cluster2,overall_silhouette1
1,0,0,1,1,0
2,0.974405,0.999126,2,2,0.986766
3,0.977574,0.935295,3,3,0.956435
4,0.973368,0.940921,4,4,0.957145
5,0.97655,0.948509,5,5,0.962529
6,0.973116,0.954915,6,6,0.964016
7,0.974372,0.955758,7,7,0.965065
8,0.976258,0.957269,8,8,0.966763
9,0.977822,0.959698,9,9,0.96876
10,0.978267,0.961784,10,10,0.970025
11,0.979148,0.963897,11,11,0.971522
12,0.977777,0.964107,12,12,0.970942
13,0.978748,0.96102,13,13,0.969884
14,0.979435,0.962626,14,14,0.97103
15,0.97974,0.963604,15,15,0.971672
16,0.980184,0.96317,16,16,0.971677
17,0.980893,0.963438,17,17,0.972166
18,0.981566,0.963019,18,18,0.972293
19,0.982044,0.964103,19,19,0.973074
20,0.982123,0.965027,20,20,0.973575
21,0.981546,0.965437,21,21,0.973491
22,0.980284,0.966143,22,22,0.973213
23,0.979142,0.967062,23,23,0.973102
24,0.979478,0.967677,24,24,0.973578
25,0.979868,0.968442,25,25,0.974155
26,0.979846,0.967525,26,26,0.973686
27,0.98018,0.965701,27,27,0.972941
28,0.980157,0.966124,28,28,0.97314
29,0.980032,0.966872,29,29,0.973452
30,0.980395,0.967555,30,30,0.973975
31,0.979853,0.96811,31,31,0.973982
32,0.980106,0.96846,32,32,0.974283
33,0.980296,0.967621,33,33,0.973958
34,0.980094,0.968199,34,34,0.974147
35,0.979461,0.967547,35,35,0.973504
36,0.979576,0.966286,36,36,0.972931
37,0.979845,0.966249,37,37,0.973047
38,0.978915,0.966553,38,38,0.972734
39,0.979136,0.966989,39,39,0.973062
40,0.979414,0.966214,40,40,0.972814
41,0.979723,0.965381,41,41,0.972552
42,0.979677,0.96591,42,42,0.972793
43,0.979852,0.965281,43,43,0.972567
44,0.980122,0.964656,44,44,0.972389
45,0.980374,0.964964,45,45,0.972669
46,0.980316,0.965391,46,46,0.972853
47,0.980333,0.965745,47,47,0.973039
48,0.980563,0.96617,48,48,0.973366
49,0.980241,0.96643,49,49,0.973335
50,0.979518,0.965898,50,50,0.972708
