
19;silhouetteCluster1;0.000000;-0.000521
22;silhouetteCluster2;0.000000;-0.003443
23;silhouetteCluster2;0.000000;-0.061088
25;silhouetteCluster1;0.000000;-0.062033
26;silhouetteCluster2;0.000000;-0.002713
26;overallSilhouette;0.000000;-0.000115
27;silhouetteCluster2;0.000000;-0.058871
28;silhouetteCluster2;0.000000;-0.057445
30;silhouetteCluster1;0.000000;-0.059088
30;overallSilhouette;0.000000;-0.000213
31;silhouetteCluster1;0.000000;-0.000366
32;silhouetteCluster2;0.000000;-0.056029
33;silhouetteCluster2;0.000000;-0.058145
34;silhouetteCluster1;0.000000;-0.057503
34;overallSilhouette;0.000000;-0.000266
35;silhouetteCluster2;0.000000;-0.055935
37;silhouetteCluster1;0.000000;-0.056828
38;silhouetteCluster2;0.000000;-0.001657
38;overallSilhouette;0.000000;-0.000294
39;silhouetteCluster1;0.000000;-0.000311
41;silhouetteCluster2;0.000000;-0.055766
42;silhouetteCluster2;0.000000;-0.001468
42;overallSilhouette;0.000000;-0.000307
43;silhouetteCluster2;0.000000;-0.054076
46;silhouetteCluster2;0.000000;-0.001317
46;overallSilhouette;0.000000;-0.000312
