id,name,probability,meanValueFuseResultBurn,meanValueFuseResultNotBurn,minFuseResultBurn,maxFuseResultBurn,minFuseResultNotBurn,maxFuseResultNotBurn
0,No Output,0.23000,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
1,Increase in Output Voltage,0.25667,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
2,Decrease in Output Voltage,0.25667,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
3,Noisy Output,0.25667,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
