id,name,probability,meanValueFuseResultBurn,meanValueFuseResultNotBurn,minFuseResultBurn,maxFuseResultBurn,minFuseResultNotBurn,maxFuseResultNotBurn
0,Open,0.59000,259,259,192,315,192,315,0,1
1,Short-Circuit,0.05000,0,0,0,0,0,0,0,1
2,Increase of Resistance Value,0.18000,259,259,192,315,192,315,0,1
3,Decrease of Resistance Value,0.18000,0,0,0,0,0,0,0,1
