id,name,probability,meanValueFuseResultBurn,meanValueFuseResultNotBurn,minFuseResultBurn,maxFuseResultBurn,minFuseResultNotBurn,maxFuseResultNotBurn,keepPowerReadbackOff,keepPowerReadbackOn
0,Open,0.59000,0,0,0,0,0,0,0,0
1,Short-Circuit,0.05000,54,4092,51,57,4091,4095,1,1
2,Increase of Resistance Value,0.18000,0,0,0,0,0,0,0,0
3,Decrease of Resistance Value,0.18000,54,4092,51,57,4091,4095,1,1
