id,name,probability,meanValueFuseResultBurn,meanValueFuseResultNotBurn,minFuseResultBurn,maxFuseResultBurn,minFuseResultNotBurn,maxFuseResultNotBurn,keepPowerReadbackOff,keepPowerReadbackOn,fmSafety,fmDetectableFuse,fmDetectableKeepPow,classMultipleFaults
0,No Output,0.23000,4092,4093,4092,4092,4093,4093,0,1,safe,yes,no,not_applicable
1,Increase in Output Voltage,0.25667,54,4092,51,57,4091,4095,0,1,unsafe,no,no,cm3
2,Decrease in Output Voltage,0.25667,54,4092,51,57,4091,4095,0,1,unsafe,no,no,cm3
3,Noisy Output,0.25667,54,4092,51,57,4091,4095,0,1,unsafe,no,no,cm3
