id,name,probability,meanValueFuseResultBurn,meanValueFuseResultNotBurn,minFuseResultBurn,maxFuseResultBurn,minFuseResultNotBurn,maxFuseResultNotBurn,keepPowerReadbackOff,keepPowerReadbackOn
0,Open,0.29000,54,4092,51,57,4091,4095,1,1
1,Short-Circuit,0.51000,0,0,0,0,0,0,0,0
2,Increase of Reverse Current,0.03333,0,0,0,0,0,0,0,0
3,Decrease of Reverse Breakdown Voltage,0.03333,0,0,0,0,0,0,0,0
4,Increase of Conducting-State Voltage,0.03333,54,4092,51,57,4091,4095,1,1
5,Decrease of Conducting-State Voltage,0.03333,0,0,0,0,0,0,0,0
6,Increase of Threshold Voltage,0.03333,54,4092,51,57,4091,4095,1,1
7,Decrease of Threshold Voltage,0.03333,0,0,0,0,0,0,0,0
