id,name,probability,meanValueFuseResultBurn,meanValueFuseResultNotBurn,minFuseResultBurn,maxFuseResultBurn,minFuseResultNotBurn,maxFuseResultNotBurn,keepPowerReadbackOff,keepPowerReadbackOn,fmSafety,fmDetectableFuse,fmDetectableKeepPow,classMultipleFaults
0,Interruption,0.08000,0,0,0,0,0,0,0,1,safe,yes,no,not_applicable
1,Parallel Short-circuit,0.16333,54,4092,51,57,4091,4095,0,1,safe,no,no,cm2
2,Increase of Rupture Current,0.16333,54,4092,51,57,4091,4095,0,1,safe,no,no,cm2
3,Increase of Rupture Time,0.43000,54,4092,51,57,4091,4095,0,1,safe,no,no,cm2
4,Reconnection After Rupture,0.16333,54,4092,51,57,4091,4095,0,1,safe,no,no,cm2
