id,name,probability,meanValueFuseResultBurn,meanValueFuseResultNotBurn,minFuseResultBurn,maxFuseResultBurn,minFuseResultNotBurn,maxFuseResultNotBurn,keepPowerReadbackOff,keepPowerReadbackOn,fmSafety,fmDetectableFuse,fmDetectableKeepPow,classMultipleFaults
0,Open,0.59000,54,4092,51,57,4091,4095,1,1,safe,no,yes,not_applicable
1,Short-Circuit,0.05000,54,4092,51,57,4091,4095,1,1,safe,no,yes,not_applicable
2,Increase of Resistance Value,0.18000,54,4092,51,57,4091,4095,1,1,safe,no,yes,not_applicable
3,Decrease of Resistance Value,0.18000,54,4092,51,57,4091,4095,1,1,safe,no,yes,not_applicable
