id,name,probability,meanValueFuseResultBurn,meanValueFuseResultNotBurn,minFuseResultBurn,maxFuseResultBurn,minFuseResultNotBurn,maxFuseResultNotBurn,keepPowerReadbackOff,keepPowerReadbackOn,fmSafety,fmDetectableFuse,fmDetectableKeepPow,classMultipleFaults
0,Open,0.59000,0,0,0,0,0,0,0,1,safe,yes,no,not_applicable
1,Short-Circuit,0.05000,0,0,0,0,0,0,0,1,safe,yes,no,not_applicable
2,Increase of Resistance Value,0.18000,28,2038,0,55,500,4089,0,1,safe,yes,no,cm2
3,Decrease of Resistance Value,0.18000,0,0,0,0,0,0,0,1,safe,yes,no,not_applicable
