id,name,probability,meanValueFuseResultBurn,meanValueFuseResultNotBurn,minFuseResultBurn,maxFuseResultBurn,minFuseResultNotBurn,maxFuseResultNotBurn,keepPowerReadbackOff,keepPowerReadbackOn,fmSafety,fmDetectableFuse,fmDetectableKeepPow,classMultipleFaults
0,Data Bit Loss,0.34000,54,4092,51,57,4091,4095,0,1,safe,outside_scope,no,not_applicable
1,Slow Transfer of Data,0.17000,54,4092,51,57,4091,4095,0,1,safe,outside_scope,no,not_applicable
2,Open,0.23000,54,4092,51,57,4091,4095,0,1,safe,outside_scope,no,not_applicable
3,Short-Circuit,0.26000,54,4092,51,57,4091,4095,0,1,safe,outside_scope,no,not_applicable
