iteration,silhouetteCluster1,silhouetteCluster2,numPointsCluster1,numPointsCluster2,overallSilhouette
1,0,0,1,1,0
3,0.999873,0.999919,2,2,0.999896
5,0.999797,0.999937,3,3,0.999867
7,0.99983,0.999719,4,4,0.999775
9,0.999598,0.999755,5,5,0.999677
11,0.999652,0.999779,6,6,0.999715
13,0.999629,0.999807,7,7,0.999718
15,0.999668,0.999828,8,8,0.999748
17,0.999698,0.999755,9,9,0.999727
19,0.999716,0.999745,10,10,0.999731
21,0.999734,0.999707,11,11,0.99972
23,0.999738,0.999711,12,12,0.999724
25,0.999717,0.999724,13,13,0.999721
27,0.999731,0.999738,14,14,0.999734
29,0.999677,0.999745,15,15,0.999711
31,0.99969,0.999736,16,16,0.999713
33,0.999703,0.999746,17,17,0.999725
35,0.999693,0.999755,18,18,0.999724
37,0.999671,0.999751,19,19,0.999711
39,0.999667,0.999748,20,20,0.999707
41,0.999673,0.99975,21,21,0.999711
43,0.999684,0.999755,22,22,0.999719
45,0.999664,0.999755,23,23,0.999709
47,0.999658,0.999743,24,24,0.999701
49,0.999666,0.999749,25,25,0.999708
51,0.999671,0.999722,26,26,0.999696
53,0.999646,0.999729,27,27,0.999687
55,0.999649,0.999716,28,28,0.999682
57,0.999655,0.999715,29,29,0.999685
59,0.999658,0.999718,30,30,0.999688
61,0.999659,0.999724,31,31,0.999691
63,0.999661,0.999729,32,32,0.999695
65,0.999667,0.999733,33,33,0.9997
67,0.999662,0.999716,34,34,0.999689
69,0.999668,0.99972,35,35,0.999694
71,0.999649,0.999725,36,36,0.999687
73,0.999655,0.999729,37,37,0.999692
75,0.99966,0.999727,38,38,0.999694
77,0.999639,0.999726,39,39,0.999683
79,0.99964,0.999729,40,40,0.999684
81,0.999644,0.999714,41,41,0.999679
83,0.999636,0.99971,42,42,0.999673
85,0.999638,0.99971,43,43,0.999674
87,0.999643,0.999714,44,44,0.999679
89,0.999647,0.999704,45,45,0.999676
91,0.999646,0.999708,46,46,0.999677
93,0.999651,0.999704,47,47,0.999677
95,0.999643,0.999708,48,48,0.999675
97,0.999638,0.999707,49,49,0.999672
99,0.99964,0.999709,50,50,0.999675
101,0.999632,0.999712,50,50,0.999672
103,0.999619,0.999713,50,50,0.999666
105,0.999619,0.99971,50,50,0.999664
107,0.999617,0.999716,50,50,0.999666
109,0.99964,0.999714,50,50,0.999677
111,0.999629,0.999712,50,50,0.999671
113,0.999632,0.999713,50,50,0.999672
115,0.999632,0.999713,50,50,0.999673
117,0.999628,0.999716,50,50,0.999672
119,0.999608,0.999719,50,50,0.999663
121,0.999608,0.999726,50,50,0.999667
123,0.999607,0.999726,50,50,0.999666
125,0.99961,0.999725,50,50,0.999668
127,0.999601,0.999724,50,50,0.999662
129,0.999608,0.999723,50,50,0.999665
131,0.999608,0.999729,50,50,0.999669
133,0.999608,0.999727,50,50,0.999667
135,0.999612,0.999723,50,50,0.999667
137,0.999617,0.999729,50,50,0.999673
139,0.999621,0.999729,50,50,0.999675
141,0.999614,0.999732,50,50,0.999673
143,0.999611,0.999731,50,50,0.999671
145,0.999622,0.999736,50,50,0.999679
147,0.999628,0.999742,50,50,0.999685
149,0.999626,0.99974,50,50,0.999683
151,0.999619,0.999752,50,50,0.999685
153,0.999628,0.99975,50,50,0.999689
155,0.99963,0.999758,50,50,0.999694
157,0.99963,0.99976,50,50,0.999695
159,0.999633,0.999758,50,50,0.999696
161,0.999634,0.999756,50,50,0.999695
163,0.999632,0.999755,50,50,0.999694
165,0.999632,0.999754,50,50,0.999693
167,0.999634,0.999767,50,50,0.9997
169,0.999633,0.999767,50,50,0.9997
171,0.999653,0.999754,50,50,0.999703
173,0.999653,0.999752,50,50,0.999702
175,0.999651,0.999748,50,50,0.999699
177,0.99965,0.999752,50,50,0.999701
179,0.999652,0.999752,50,50,0.999702
181,0.999651,0.999769,50,50,0.99971
183,0.999663,0.999777,50,50,0.99972
185,0.999655,0.999773,50,50,0.999714
187,0.999654,0.999773,50,50,0.999714
189,0.999649,0.999787,50,50,0.999718
191,0.999641,0.999787,50,50,0.999714
193,0.999642,0.999793,50,50,0.999717
195,0.999655,0.999792,50,50,0.999724
197,0.999653,0.999799,50,50,0.999726
199,0.999652,0.999799,50,50,0.999725
201,0.999649,0.999796,50,50,0.999723
203,0.999645,0.999797,50,50,0.999721
205,0.999641,0.999798,50,50,0.99972
207,0.999636,0.999796,50,50,0.999716
209,0.999635,0.999793,50,50,0.999714
211,0.999645,0.999796,50,50,0.99972
213,0.999645,0.99979,50,50,0.999718
215,0.999645,0.99979,50,50,0.999717
217,0.999635,0.999798,50,50,0.999716
219,0.999641,0.999801,50,50,0.999721
221,0.999621,0.999801,50,50,0.999711
223,0.999624,0.999802,50,50,0.999713
225,0.999624,0.999799,50,50,0.999712
227,0.999624,0.999802,50,50,0.999713
229,0.999629,0.999803,50,50,0.999716
231,0.999628,0.9998,50,50,0.999714
233,0.999624,0.9998,50,50,0.999712
235,0.999614,0.999803,50,50,0.999709
237,0.999601,0.999799,50,50,0.9997
239,0.999599,0.9998,50,50,0.9997
241,0.999609,0.999793,50,50,0.999701
243,0.999607,0.999776,50,50,0.999692
245,0.999607,0.999774,50,50,0.99969
247,0.999602,0.999769,50,50,0.999686
249,0.999602,0.999764,50,50,0.999683
251,0.999608,0.999765,50,50,0.999687
253,0.99961,0.999767,50,50,0.999688
255,0.99961,0.999769,50,50,0.99969
257,0.999594,0.999768,50,50,0.999681
259,0.999594,0.999771,50,50,0.999683
261,0.999597,0.999774,50,50,0.999686
263,0.999601,0.999774,50,50,0.999687
265,0.999601,0.999771,50,50,0.999686
267,0.999605,0.999774,50,50,0.999689
269,0.999591,0.999774,50,50,0.999683
271,0.999591,0.999788,50,50,0.99969
273,0.99959,0.999775,50,50,0.999682
275,0.999591,0.999782,50,50,0.999686
