iteration,fuseTest,fuseResult
1,0,53.4165
1,1,4092.25
3,0,56.6773
3,1,4091.27
5,0,53.7344
5,1,4094.79
7,0,53.8632
7,1,4093.48
9,0,53.7177
9,1,4094.81
11,0,53.8902
11,1,4093.36
13,0,52.4981
13,1,4091.3
15,0,53.9981
15,1,4091.45
17,0,52.7767
17,1,4093.34
19,0,53.2915
19,1,4092.16
21,0,53.7463
21,1,4091.72
23,0,52.6558
23,1,4093.12
25,0,53.7478
25,1,4092.24
27,0,53.9903
27,1,4094.31
29,0,54.0325
29,1,4092.88
31,0,54.0578
31,1,4091.82
33,0,54.0692
33,1,4091.97
35,0,54.3093
35,1,4092.01
37,0,52.5386
37,1,4094.05
39,0,55.7891
39,1,4093.52
41,0,53.3781
41,1,4092.71
43,0,54.1741
43,1,4092.99
45,0,53.9634
45,1,4092.62
47,0,53.1302
47,1,4092.38
49,0,55.93
49,1,4092.42
51,0,53.7817
51,1,4091.89
53,0,51.895
53,1,4094.12
55,0,54.6307
55,1,4091.02
57,0,54.964
57,1,4092.03
59,0,53.1903
59,1,4093.26
61,0,55.9059
61,1,4094.51
63,0,54.0496
63,1,4091.49
65,0,56.4982
65,1,4093.77
67,0,54.4772
67,1,4091.83
69,0,54.1933
69,1,4092
71,0,55.1085
71,1,4093.82
73,0,56.1176
73,1,4091.76
75,0,53.9393
75,1,4091.94
77,0,54.1125
77,1,4094.23
79,0,53.658
79,1,4091.66
81,0,53.7537
81,1,4092.94
83,0,54.163
83,1,4091.82
85,0,54.0011
85,1,4091.31
87,0,51.6661
87,1,4091.22
89,0,56.2256
89,1,4092.01
91,0,53.4284
91,1,4093.29
93,0,54.4405
93,1,4091.34
95,0,53.7685
95,1,4091.65
97,0,55.2961
97,1,4091.23
99,0,54.6412
99,1,4093.19
101,0,55.0716
101,1,4091.67
103,0,52.6436
103,1,4092.62
105,0,51.5883
105,1,4091.8
107,0,55.2859
107,1,4092.4
109,0,52.9173
109,1,4092.54
111,0,53.99
111,1,4092.98
113,0,54.4986
113,1,4092.36
115,0,52.9068
115,1,4091.1
117,0,53.5904
117,1,4092.7
119,0,54.0873
119,1,4092.4
121,0,54.7093
121,1,4093.17
123,0,53.8842
123,1,4093.26
