iteration,silhouetteCluster1,silhouetteCluster2,numPointsCluster1,numPointsCluster2,overallSilhouette
1,0,0,1,1,0
3,0.999192,0.999758,2,2,0.999475
5,0.999462,0.999418,3,3,0.99944
7,0.999591,0.999513,4,4,0.999552
9,0.99967,0.999523,5,5,0.999597
11,0.99972,0.99958,6,6,0.99965
13,0.999679,0.999556,7,7,0.999617
15,0.99971,0.999563,8,8,0.999636
17,0.999705,0.99959,9,9,0.999647
19,0.999722,0.999608,10,10,0.999665
21,0.999743,0.99962,11,11,0.999682
23,0.999738,0.999635,12,12,0.999687
25,0.999755,0.999651,13,13,0.999703
27,0.999765,0.999639,14,14,0.999702
29,0.999773,0.999652,15,15,0.999712
31,0.999781,0.999658,16,16,0.999719
33,0.999788,0.999666,17,17,0.999727
35,0.999789,0.999676,18,18,0.999732
37,0.999778,0.999669,19,19,0.999724
39,0.999747,0.999673,20,20,0.99971
41,0.999753,0.999681,21,21,0.999717
43,0.999758,0.999689,22,22,0.999724
45,0.999766,0.999696,23,23,0.999731
47,0.999767,0.999703,24,24,0.999735
49,0.999742,0.99971,25,25,0.999726
51,0.99975,0.999713,26,26,0.999731
53,0.999732,0.999706,27,27,0.999719
55,0.999731,0.999696,28,28,0.999713
57,0.999726,0.999701,29,29,0.999713
1,0,0,1,1,0
3,0.999914,0.999931,2,2,0.999922
5,0.999907,0.999932,3,3,0.99992
7,0.999784,0.999762,4,4,0.999773
9,0.999726,0.999676,5,5,0.999701
11,0.999709,0.999695,6,6,0.999702
13,0.999597,0.999718,7,7,0.999658
15,0.999562,0.999739,8,8,0.999651
17,0.999557,0.999747,9,9,0.999652
19,0.999572,0.999759,10,10,0.999666
21,0.999589,0.999771,11,11,0.99968
23,0.999604,0.999716,12,12,0.99966
25,0.999623,0.999723,13,13,0.999673
27,0.999641,0.999702,14,14,0.999672
29,0.99965,0.999708,15,15,0.999679
31,0.999607,0.999716,16,16,0.999662
33,0.999564,0.999725,17,17,0.999644
35,0.999567,0.99971,18,18,0.999638
37,0.999574,0.999717,19,19,0.999646
39,0.999577,0.999722,20,20,0.999649
41,0.999584,0.999712,21,21,0.999648
43,0.999596,0.999719,22,22,0.999658
45,0.999603,0.999727,23,23,0.999665
47,0.999585,0.999729,24,24,0.999657
49,0.999596,0.999729,25,25,0.999662
51,0.999605,0.999718,26,26,0.999662
53,0.999601,0.999722,27,27,0.999661
55,0.999604,0.999728,28,28,0.999666
57,0.999611,0.999733,29,29,0.999672
59,0.999614,0.999733,30,30,0.999673
61,0.9996,0.999737,31,31,0.999668
63,0.999607,0.999742,32,32,0.999675
65,0.999611,0.999735,33,33,0.999673
67,0.999618,0.999739,34,34,0.999678
69,0.999601,0.999734,35,35,0.999667
71,0.999607,0.99973,36,36,0.999668
73,0.999586,0.999729,37,37,0.999658
75,0.999581,0.999732,38,38,0.999657
77,0.999588,0.999736,39,39,0.999662
79,0.999594,0.99974,40,40,0.999667
81,0.9996,0.99974,41,41,0.99967
83,0.999606,0.999744,42,42,0.999675
85,0.999594,0.999745,43,43,0.999669
87,0.9996,0.99974,44,44,0.99967
89,0.999606,0.99974,45,45,0.999673
91,0.999606,0.999741,46,46,0.999674
93,0.999611,0.999743,47,47,0.999677
95,0.999616,0.999745,48,48,0.999681
97,0.999606,0.999749,49,49,0.999677
99,0.999607,0.999751,50,50,0.999679
101,0.999594,0.999752,50,50,0.999673
103,0.99959,0.999751,50,50,0.99967
