iteration,failureOccurred,failureCaught,numberOfFailedComponents,failedComponentsList,unsafeFailureGenerated,outsideScopeFailureGenerated,detectableFailureGenerated,impactlessFailureGenerated
32818,True,False,1,[OC_Diag],False,False,False,True
32819,True,False,1,[OC_Diag],False,False,False,True
32820,True,False,1,[OC_Diag],False,False,False,True
32821,True,False,1,[OC_Diag],False,False,False,True
32822,True,False,1,[OC_Diag],False,False,False,True
32823,True,False,1,[OC_Diag],False,False,False,True
32824,True,False,1,[OC_Diag],False,False,False,True
32825,True,False,1,[OC_Diag],False,False,False,True
32826,True,False,1,[OC_Diag],False,False,False,True
32827,True,False,1,[OC_Diag],False,False,False,True
32828,True,False,1,[OC_Diag],False,False,False,True
32829,True,False,1,[OC_Diag],False,False,False,True
32830,True,False,1,[OC_Diag],False,False,False,True
32831,True,False,1,[OC_Diag],False,False,False,True
32832,True,False,1,[OC_Diag],False,False,False,True
32833,True,False,1,[OC_Diag],False,False,False,True
32834,True,False,1,[OC_Diag],False,False,False,True
32835,True,False,1,[OC_Diag],False,False,False,True
32836,True,False,1,[OC_Diag],False,False,False,True
32837,True,False,1,[OC_Diag],False,False,False,True
32838,True,False,1,[OC_Diag],False,False,False,True
32839,True,False,1,[OC_Diag],False,False,False,True
32840,True,False,1,[OC_Diag],False,False,False,True
32841,True,False,1,[OC_Diag],False,False,False,True
32842,True,False,1,[OC_Diag],False,False,False,True
32843,True,False,1,[OC_Diag],False,False,False,True
32844,True,False,1,[OC_Diag],False,False,False,True
32845,True,False,1,[OC_Diag],False,False,False,True
32846,True,False,1,[OC_Diag],False,False,False,True
32847,True,False,1,[OC_Diag],False,False,False,True
32848,True,False,1,[OC_Diag],False,False,False,True
32849,True,False,1,[OC_Diag],False,False,False,True
32850,True,False,1,[OC_Diag],False,False,False,True
32851,True,False,1,[OC_Diag],False,False,False,True
32852,True,False,1,[OC_Diag],False,False,False,True
32853,True,False,1,[OC_Diag],False,False,False,True
32854,True,False,1,[OC_Diag],False,False,False,True
32855,True,False,1,[OC_Diag],False,False,False,True
32856,True,False,1,[OC_Diag],False,False,False,True
32857,True,False,1,[OC_Diag],False,False,False,True
32858,True,False,1,[OC_Diag],False,False,False,True
32859,True,False,1,[OC_Diag],False,False,False,True
32860,True,False,1,[OC_Diag],False,False,False,True
32861,True,False,1,[OC_Diag],False,False,False,True
32862,True,False,1,[OC_Diag],False,False,False,True
32863,True,False,1,[OC_Diag],False,False,False,True
32864,True,False,1,[OC_Diag],False,False,False,True
32865,True,False,1,[OC_Diag],False,False,False,True
32866,True,False,1,[OC_Diag],False,False,False,True
32867,True,False,1,[OC_Diag],False,False,False,True
32868,True,False,1,[OC_Diag],False,False,False,True
32869,True,False,1,[OC_Diag],False,False,False,True
32870,True,False,1,[OC_Diag],False,False,False,True
32871,True,False,1,[OC_Diag],False,False,False,True
32872,True,False,1,[OC_Diag],False,False,False,True
32873,True,False,1,[OC_Diag],False,False,False,True
32874,True,False,1,[OC_Diag],False,False,False,True
32875,True,False,1,[OC_Diag],False,False,False,True
32876,True,False,1,[OC_Diag],False,False,False,True
32877,True,False,1,[OC_Diag],False,False,False,True
32878,True,False,1,[OC_Diag],False,False,False,True
32879,True,False,1,[OC_Diag],False,False,False,True
32880,True,False,1,[OC_Diag],False,False,False,True
32881,True,False,1,[OC_Diag],False,False,False,True
32882,True,False,1,[OC_Diag],False,False,False,True
32883,True,False,1,[OC_Diag],False,False,False,True
32884,True,False,1,[OC_Diag],False,False,False,True
32885,True,False,1,[OC_Diag],False,False,False,True
32886,True,False,1,[OC_Diag],False,False,False,True
32887,True,False,1,[OC_Diag],False,False,False,True
32888,True,False,1,[OC_Diag],False,False,False,True
32889,True,False,1,[OC_Diag],False,False,False,True
32890,True,False,1,[OC_Diag],False,False,False,True
32891,True,False,1,[OC_Diag],False,False,False,True
32892,True,False,1,[OC_Diag],False,False,False,True
32893,True,False,1,[OC_Diag],False,False,False,True
32894,True,False,1,[OC_Diag],False,False,False,True
32895,True,False,1,[OC_Diag],False,False,False,True
32896,True,False,1,[OC_Diag],False,False,False,True
32897,True,False,1,[OC_Diag],False,False,False,True
32898,True,False,1,[OC_Diag],False,False,False,True
