name,faultModeId,countBetweenFailures
UC_Diag,-1,20
Flash_Diag,-1,20
DZ_Diag,-1,20
R_Diag,-1,20
DC_DC_Diag,-1,20
PCB_CC1_Diag,-1,20
PCB_CC2_Diag,-1,20
PCB_CC3_Diag,-1,20
R1_Sys,-1,20
OC1_Sys,-1,20
R2_Sys,-1,20
OC2_Sys,-1,20
R3_Sys,-1,20
OC3_Sys,-1,20
D_Sys,-1,20
K_Sys,-1,20
OR_Sys,-1,20
Q_Sys,-1,20
R4_Sys,-1,20
F_Sys,-1,20
UC_Sys,-1,20
Flash_Sys,-1,20
DC_DC_Sys,-1,20
PCB_CC1_Sys,-1,20
PCB_CC2_Sys,-1,20
PCB_CC3_Sys,-1,20
PCB_CC4_Sys,-1,20
PCB_CC5_Sys,-1,20
PCB_CC6_Sys,-1,20
PCB_CC7_Sys,-1,20
