id,name,probability,meanValueFuseResultBurn,meanValueFuseResultNotBurn,minFuseResultBurn,maxFuseResultBurn,minFuseResultNotBurn,maxFuseResultNotBurn,keepPowerReadbackOff,keepPowerReadbackOn,fmSafety,fmDetectableFuse,fmDetectableKeepPow,classMultipleFaults
0,Open,0.59000,4092,4093,4092,4092,4093,4093,0,1,safe,yes,no,not_applicable
1,Short-Circuit,0.05000,0,0,0,0,0,0,0,1,safe,yes,no,not_applicable
2,Increase of Resistance Value,0.18000,54,4093,51,4092,4093,4093,0,1,safe,maybe,no,cm2
3,Decrease of Resistance Value,0.18000,0,3806,0,0,0,4093,0,1,safe,maybe,no,cm2
