iteration,fuseTest,fuseResult
1,0,54.7943
1,1,4094.05
3,0,53.069
3,1,4093.71
5,0,54.3081
5,1,4091.04
7,0,54.6566
7,1,4092.27
9,0,54.0687
9,1,4092.98
11,0,53.9497
11,1,4091.99
13,0,53.9824
13,1,4092.67
15,0,55.0649
15,1,4092.8
17,0,52.6696
17,1,4091.55
19,0,55.3321
19,1,4094.8
21,0,52.6359
21,1,4092.07
23,0,53.6401
23,1,4092.66
25,0,54.3172
25,1,4093.04
27,0,54.4119
27,1,4094.46
29,0,51.1263
29,1,4091.77
31,0,53.2804
31,1,4091.57
33,0,55.2229
33,1,4092.04
35,0,54.1456
35,1,4093.45
37,0,54.1505
37,1,4091.8
39,0,53.2535
39,1,4093.49
41,0,51.3648
41,1,4091.16
43,0,53.0181
43,1,4093.26
45,0,53.977
45,1,4092.73
47,0,54.1774
47,1,4093.46
49,0,53.8402
49,1,4093.13
51,0,53.6151
51,1,4093.56
53,0,54.8145
53,1,4091.34
55,0,51.6899
55,1,4091.9
57,0,55.6375
57,1,4091.26
59,0,53.9144
59,1,4092.82
61,0,53.1614
61,1,4091.3
63,0,54.7929
63,1,4091.47
65,0,54.5779
65,1,4092.01
67,0,56.0939
67,1,4092.37
69,0,56.3055
69,1,4093.61
71,0,54.0788
71,1,4091.76
73,0,53.3625
73,1,4092.23
75,0,53.9837
75,1,4092.49
77,0,53.4482
77,1,4094
79,0,53.1717
79,1,4092.96
81,0,54.7976
81,1,4092.67
83,0,52.9437
83,1,4092.04
85,0,54.028
85,1,4092.85
87,0,54.9579
87,1,4091.56
89,0,53.8918
89,1,4091.65
91,0,51.8668
91,1,4091.54
93,0,53.6537
93,1,4092.01
95,0,53.834
95,1,4093.83
97,0,53.9188
97,1,4092.59
99,0,55.4411
99,1,4092.01
101,0,53.045
101,1,4091.03
103,0,53.627
103,1,4092.38
105,0,53.9271
105,1,4094.25
107,0,53.9787
107,1,4094.06
109,0,54.4964
109,1,4094.89
111,0,52.7508
111,1,4092.98
113,0,53.3881
113,1,4093.14
115,0,51.713
115,1,4091.25
117,0,53.1252
117,1,4091.71
119,0,51.5539
119,1,4091.53
121,0,52.5833
121,1,4094.16
123,0,54.9324
123,1,4091.98
125,0,53.1049
125,1,4093.93
127,0,55.2966
127,1,4092.77
129,0,54.7136
129,1,4092.06
131,0,54.7038
131,1,4094.91
133,0,53.2852
133,1,4092.9
135,0,52.2206
135,1,4093.94
137,0,51.8699
137,1,4091.01
139,0,56.6935
139,1,4091.39
141,0,53.2185
141,1,4092
143,0,55.1267
143,1,4094.07
145,0,53.7417
145,1,4093.26
147,0,53.9688
147,1,4092.39
149,0,53.6616
149,1,4093.2
151,0,53.3855
151,1,4092.25
153,0,53.8499
153,1,4092.06
155,0,51.3675
155,1,4092.2
157,0,52.467
157,1,4091.89
159,0,53.2374
159,1,4091.67
161,0,54.2869
161,1,4091.57
163,0,52.8902
163,1,4092.21
165,0,53.4014
165,1,4094.2
167,0,53.3706
167,1,4093.92
169,0,54.8648
169,1,4092.89
171,0,53.9974
171,1,4092.76
173,0,54.6282
173,1,4092.1
175,0,56.7976
175,1,4091.78
177,0,52.0486
177,1,4092.55
179,0,56.3947
179,1,4091.55
181,0,53.7337
181,1,4093.61
183,0,53.9992
183,1,4092.32
185,0,54.0219
185,1,4093.49
187,0,54.0596
187,1,4092.56
189,0,53.4173
189,1,4092.63
191,0,51.4582
191,1,4091.96
193,0,53.2749
193,1,4092.24
195,0,54.8742
195,1,4091.57
197,0,55.3088
197,1,4092.03
199,0,54.2321
199,1,4093.72
201,0,53.6089
201,1,4091.94
203,0,53.9024
203,1,4093.27
205,0,53.5877
205,1,4093.91
207,0,53.8463
207,1,4092.25
209,0,53.6859
209,1,4093.21
211,0,54.5808
211,1,4091.74
213,0,54.2349
213,1,4091.45
215,0,54.287
215,1,4091.99
217,0,53.4261
217,1,4092.25
219,0,51.2485
219,1,4092.05
221,0,53.0868
221,1,4093.64
223,0,52.6679
